Article,Actual Summary,Pridicted Summary
us president george bush tuesday endorsed federal reserve rescue loan troubled insurance giant american insurance group move would promote stability financial markets white house said statement ,bush backs fed rescue of troubled insurer aig , bush vows to save rescue rescue deal
french court tuesday convicted iranian murdering former iranian prime minister shahpur bakhtiar sentenced life prison trial tehran government dock ,french court iranian for life in bakhtiar killing , spanish court jails mother of life sentence for killing
alitalia trade unions warned wednesday less hours accept deal rescue plan ailing airline ansa news agency reported ,alitalia unions given deadline to accept takeover proposals , german leaders says key phase of financial crisis
trial opened ivory coast monday people charged involvement toxic waste scandal killed ivorians poisoned thousands ,pollution trial opens in ivory coast , pollution police opens in ivory coast
dairy producers across china tested following scandal chemical placed milk powder killed three babies sickened thousands authorities said wednesday ,china to test all dairy for chemical , china pulls top candy off shelves as milk scandal deepens
bolivian president evo morales wednesday declared us ambassador la paz non accusing envoy encouraging country promoting separatism ,bolivia president orders us envoy , pakistan president to discuss military
us military said wednesday three us soldiers charged murder committed unspecified incident near baghdad march april ,us military charges three soldiers with iraq murder , us condemns pakistan
un security council monday extended one year mandate nato led multinational forces battling extremists afghanistan voiced concern high number civilian casualties ,un extends afghan force mandate concerned over casualties , un extends force to discuss border
little master indian cricket sworn bombay thursday ,sworn in as of bombay , in
hundreds furious passengers qe ocean liner late thursday leaking broken made week long york voyage far dream cruise ,qe passengers make atlantic , aids
taipei bourse monday jumped across board reaction ruling kuomintang party winning powerful position taiwan province governor dealers said ,taipei shares go up sharply after elections , new zealand government sets november
expects global demand computers information technology products company said statement tuesday ,sees global it demand , us plans to sell
future european union discussed eu leaders dinner friday essen summit according letter invitation sent german chancellor helmut kohl ,kohl plans debate on future of europe , eu ministers to visit nuclear mission
thieves stole priceless spanish master francisco de goya temporary exhibition colombia museum spokesman said friday ,thieves from colombia museum , modahl drugs hearing
india tata motors insisted thursday would stick planned schedule high profile rollout world cheapest car despite months protests land dispute ,india tata vows nano car on schedule , india tata vows to keep car nano nano car
israeli prime minister yitzhak rabin arrived wednesday four day official visit south korea first spawned middle east peace accord israel palestinians ,israeli prime minister arrives in south korea , peres to meet in israel
israel imposed tight security west bank town deploying hundreds policemen soldiers prevent attacks christmas festivities police said friday ,israel tightens security in for christmas , israel to be up on palestinian
russian president boris yeltsin underwent minor nasal surgery unable work week presidency said communique saturday ,yeltsin undergoes surgery , yeltsin undergoes surgery
pope benedict xvi told french jewish leaders friday anti anti christian began four day visit catholic nation ,anti is anti christian says pope , pope begins visit to france
exports soared percent first months account nearly one third china overseas sales sector output grew slightly china daily said friday ,chinese exports soar output up , hong kong gold output rises to pct in august
two freight trains collided rural area wednesday killing one person injuring unknown number others officials said ,one dead in train collision , at least dead in new zealand boat accident
small british tour operator holidays turkey trading days collapse another group left holidaymakers stranded regulators said sunday ,another british travel company goes bust , to build hub
european central bank lrb ecb rrb pumped billion euros lrb billion dollars rrb financial markets thursday latest attempt provide desperately needed liquidity ,ecb pumps billion euros into market , ecb injects billion dollars into markets
afghanistan president hamid karzai much sought un general assembly nato leaders meet sidelines fragile security situation nation ,afghan leader much sought after at un meeting , afghan president to visit talks with un
plo leader yasser arafat sunday accused israel delaying palestinian elections west bank gaza strip stressed negotiations issue would continue ,arafat accuses israel of delaying , arafat peres rabin nobel prize
gulf mexico hurricane ike churned thursday hub us petroleum industry quarter us crude oil produced percent refinery capacity ,gulf of mexico hub of us oil industry , us trade says bln dlr package in august
nigerian football player omar expelled egypt sunday testing positive hiv virus ,nigerian star banned from egypt after aids test , woman find in
egyptian stock exchange continued fall sharply tuesday taking losses key stocks percent past two two trading sessions ,egypt key stocks drop percent in two days , london stocks up percent on day
north korean army officials met us army representatives sunday silent fate two crew members us helicopter missing north un command said ,nkorean army meets us on missing helicopter on pilots , us prosecutors launch safety inquiry on aeroflot
roadside bomb exploded tuesday seriously wounding israeli soldier patrol went past security zone jewish state southern lebanon military officials said ,israeli soldier hurt in south lebanon blast , two killed in baghdad bomb blast
african national congress lrb anc rrb wednesday endorsed far reaching policy resolutions aimed last apartheid south african society ,anc endorses far policies issues , south africa anc picks successor
philippine share prices closed percent lower friday amid renewed inflation local currency well credit problems united states dealers said ,philippine shares close percent lower , chinese shares close up pct
russian legislators thursday attacked president boris yeltsin threatening military intervention chechnya called new elections restore order breakaway republic ,russian lawmakers attack yeltsin over chechnya , russian troops in western georgia
us commerce secretary brown leaves monday attend conference northern ireland aimed boosting investment province following peace agreement ,brown to make investment trip to northern ireland , rice signs gatt agreement on gatt
cautious european leaders dealing situation largely control guarded comments confront global financial turmoil analysts said thursday ,european leaders in as markets , eu commission to take on financial crisis
united states five powers tuesday called plans high level talks week debate sanctions iran russia complained us attempts punish ,top talks on iran nuclear program are called off , us leaders to head on nuclear nuclear deal
south korea inflation rate slowed slightly august oil commodity prices showed signs national statistical office said monday ,skorea inflation rate slightly in august , french economy falls to percent in august
kenya friday said ukrainian ship seized pirates somalia carrying military hardware including tanks destined armed forces ,kenya confirms hijacked ukrainian ship was , french prosecutors bombing after islamabad bombing
european union leaders put bloc relations moscow emergency summit monday although sanctions russia cards ,eu to relations with russia at emergency summit , eu to send observers to prevent nato mission
